BI0CE2,BI12E3,BI41E1,BI41E2,BI41E3,BI72E3,BI76E3,BI99E1,BI99E3,VC07E1,VC07E2,VC07E3,num_overtargets,total_traffic,cell_throughput,user_throughput,nextim_file,output_file,reward
8,2,4,8,6,5,10,7,2,8,3,6,2.0,98.43062,12.83155772833749,4.794851287509656,Nextim_645.txt,Nextim_645.txt_throughput_21-22_fer.data,0.8813204507923573
4,2,4,8,6,5,10,7,2,8,3,6,2.0,98.43272,12.81006517861459,4.8151859366112735,Nextim_801.txt,Nextim_801.txt_throughput_21-22_fer.data,0.8812625557612932
6,2,4,8,6,5,10,7,2,8,3,6,2.0,98.43272,12.820792989522644,4.802637042839118,Nextim_522.txt,Nextim_522.txt_throughput_21-22_fer.data,0.8811715016180881
5,2,4,8,6,5,10,7,2,8,3,6,2.0,98.43271999999999,12.814293835671124,4.808427029825698,Nextim_784.txt,Nextim_784.txt_throughput_21-22_fer.data,0.8811360432748412
8,3,4,8,6,5,10,7,2,8,3,6,2.0,98.43062,12.824371315735528,4.797708119679399,Nextim_790.txt,Nextim_790.txt_throughput_21-22_fer.data,0.8811039717707463
7,2,4,8,6,5,10,7,2,8,3,6,2.0,98.43062000000002,12.82639502583797,4.795244124716743,Nextim_374.txt,Nextim_374.txt_throughput_21-22_fer.data,0.8810819575277358
8,2,4,8,6,6,10,7,2,8,3,6,2.0,98.41126000000001,12.808271992758156,4.811670200292029,Nextim_753.txt,Nextim_753.txt_throughput_21-22_fer.data,0.8809971096525093
5,3,4,8,6,5,10,7,2,8,3,6,2.0,98.43272000000002,12.808165927014496,4.811421137163441,Nextim_1317.txt,Nextim_1317.txt_throughput_21-22_fer.data,0.8809793532088969
6,3,4,8,6,5,10,7,2,8,3,6,2.0,98.43272000000002,12.81384373970693,4.805469445619085,Nextim_1349.txt,Nextim_1349.txt_throughput_21-22_fer.data,0.8809656592663009
7,3,4,8,6,5,10,7,2,8,3,6,2.0,98.43062000000002,12.81944155493628,4.798045805880603,Nextim_1270.txt,Nextim_1270.txt_throughput_21-22_fer.data,0.8808743680408442
8,2,4,8,6,5,9,7,2,8,3,6,2.0,98.44388,12.820415109895752,4.79649933316474,Nextim_772.txt,Nextim_772.txt_throughput_21-22_fer.data,0.8808457221530247
8,2,4,8,5,5,10,7,2,8,3,6,2.0,98.43062,12.82872006360951,4.788192379165295,Nextim_805.txt,Nextim_805.txt_throughput_21-22_fer.data,0.8808456221387403
5,2,4,8,6,6,10,7,2,8,3,6,2.0,98.41336,12.790898435856258,4.825241139326759,Nextim_1316.txt,Nextim_1316.txt_throughput_21-22_fer.data,0.8808069787591509
8,3,4,8,6,6,10,7,2,8,3,6,2.0,98.41126000000001,12.801480652837183,4.814639889193025,Nextim_1353.txt,Nextim_1353.txt_throughput_21-22_fer.data,0.8808060271015105
6,2,4,8,6,5,9,7,2,8,3,6,2.0,98.44598,12.80965591491161,4.804247870508797,Nextim_1314.txt,Nextim_1314.txt_throughput_21-22_fer.data,0.8806951892710204
8,2,4,8,6,5,10,7,2,8,4,6,2.0,98.43061999999999,12.818775242135601,4.79370688294338,Nextim_777.txt,Nextim_777.txt_throughput_21-22_fer.data,0.8806241062539492
7,2,4,8,6,5,9,7,2,8,3,6,2.0,98.44388,12.815182712808578,4.796849433621645,Nextim_331.txt,Nextim_331.txt_throughput_21-22_fer.data,0.8806016073215113
8,2,4,8,6,5,10,7,2,8,3,5,2.0,98.43507,12.815692984263906,4.7953039542970135,Nextim_806.txt,Nextim_806.txt_throughput_21-22_fer.data,0.880549846928046
6,2,4,8,6,5,10,7,2,8,4,6,2.0,98.43271999999999,12.807282752080202,4.801094100506482,Nextim_1335.txt,Nextim_1335.txt_throughput_21-22_fer.data,0.8804188426293342
